Analysis,View,Markup type,Landmark,Definition
Frontal Photo Analysis,Photo,Point,Tr - Trichion,"The midpoint of the hairline, the superior limit of the face for facial height proportions."
Frontal Photo Analysis,Photo,Point,G' - Glabella,"The most prominent point of the forehead in the midline, between the eyebrows."
Frontal Photo Analysis,Photo,Point,En-R - Endocanthion (Right),"The inner corner of the right eye at the medial palpebral commissure."
Frontal Photo Analysis,Photo,Point,En-L - Endocanthion (Left),"The inner corner of the left eye at the medial palpebral commissure."
Frontal Photo Analysis,Photo,Point,Ex-R - Exocanthion (Right),"The outer corner of the right eye at the lateral palpebral commissure."
Frontal Photo Analysis,Photo,Point,Ex-L - Exocanthion (Left),"The outer corner of the left eye at the lateral palpebral commissure."
Frontal Photo Analysis,Photo,Point,N' - Soft tissue nasion,"The midpoint of the soft tissue contour at the nasal root, overlying the frontonasal suture."
Frontal Photo Analysis,Photo,Point,Al-R - Alare (Right),"The most lateral point of the right alar contour, defining nasal width."
Frontal Photo Analysis,Photo,Point,Al-L - Alare (Left),"The most lateral point of the left alar contour, defining nasal width."
Frontal Photo Analysis,Photo,Point,Sn - Subnasale,"The midpoint of the angle at the columella base where the upper lip meets the nasal septum."
Frontal Photo Analysis,Photo,Point,Cph-R - Crista philtri (Right),"The peak of Cupid's bow on the right side, at the highest point of the vermilion border."
Frontal Photo Analysis,Photo,Point,Cph-L - Crista philtri (Left),"The peak of Cupid's bow on the left side, at the highest point of the vermilion border."
Frontal Photo Analysis,Photo,Point,Ch-R - Cheilion (Right),"The right corner of the mouth at the labial commissure."
Frontal Photo Analysis,Photo,Point,Ch-L - Cheilion (Left),"The left corner of the mouth at the labial commissure."
Frontal Photo Analysis,Photo,Point,Zy-R - Zygion (Right),"The most lateral point of the right zygomatic arch, defining the widest facial breadth."
Frontal Photo Analysis,Photo,Point,Zy-L - Zygion (Left),"The most lateral point of the left zygomatic arch, defining the widest facial breadth."
Frontal Photo Analysis,Photo,Point,Go-R - Gonion (Right),"The most lateral and inferior point of the right mandibular angle."
Frontal Photo Analysis,Photo,Point,Go-L - Gonion (Left),"The most lateral and inferior point of the left mandibular angle."
Frontal Photo Analysis,Photo,Point,Me' - Soft tissue menton,"The most inferior point of the soft tissue chin in the midline."
